ensembl_gene_id,mgi_symbol,group1_1,group1_2,group1_3
ENSMUSG00000003469,Phyhip,42,39,112
ENSMUSG00000045946,Gm9804,7,8,1
ENSMUSG00000022235,Cmbl,30,54,154
ENSMUSG00000024039,Cbs,63,50,62
ENSMUSG00000027901,Dennd2d,10,39,55
ENSMUSG00000016458,Wt1,99,51,228
ENSMUSG00000007682,Dio2,102,121,26
ENSMUSG00000085710,Gm12676,28,19,17
ENSMUSG00000092683,Gm25747,0,1,0
ENSMUSG00000071369,Map3k5,308,205,768
ENSMUSG00000023367,Tmem176a,2862,2566,4770
ENSMUSG00000041440,Gk5,193,185,229
ENSMUSG00000031387,Renbp,700,1134,1263
ENSMUSG00000020178,Adora2a,240,66,182
ENSMUSG00000081738,Hmgb1-ps2,2,5,3
ENSMUSG00000082244,Gm8503,1,8,1
ENSMUSG00000068246,Apol9b,67,207,103
ENSMUSG00000043219,Hoxa6,38,68,6
ENSMUSG00000032750,Gab3,19,40,42
ENSMUSG00000081537,Gm15235,1,3,1
ENSMUSG00000031066,Usp11,139,245,302
ENSMUSG00000086855,Gm13844,3,3,2
ENSMUSG00000027833,Shox2,99,66,537
ENSMUSG00000027227,Sord,391,575,351
ENSMUSG00000074516,Gm10709,4,4,4
ENSMUSG00000081165,Gm11783,1,6,2
ENSMUSG00000078234,Klhdc7a,183,149,35
ENSMUSG00000024962,Vegfb,434,666,659
ENSMUSG00000069515,Lyz1,21,11,142
ENSMUSG00000062383,B130024G19Rik,5,3,9
ENSMUSG00000040829,Zmynd15,23,39,122
ENSMUSG00000039997,Ifi203,306,430,737
ENSMUSG00000095111,Gm23713,0,0,0
ENSMUSG00000022537,Tmem44,163,191,406
ENSMUSG00000082258,Gm15289,1,2,0
ENSMUSG00000093002,Gm24154,2,3,2
ENSMUSG00000088475,Gm23084,0,1,1
ENSMUSG00000036661,Dennd3,62,64,35
ENSMUSG00000048965,Mrgpre,87,183,284
ENSMUSG00000040605,Bace2,202,349,298
ENSMUSG00000079057,Cyp4v3,251,266,584
ENSMUSG00000037336,Mfsd2b,32,43,39
ENSMUSG00000096967,Gm26621,36,40,69
ENSMUSG00000022610,Mapk12,277,438,542
ENSMUSG00000079362,Gbp6,40,101,132
ENSMUSG00000078866,Gm14420,278,354,352
ENSMUSG00000029322,Plac8,441,676,5433
ENSMUSG00000027073,Prg2,6,10,0
ENSMUSG00000001663,Gstt1,272,322,1047
ENSMUSG00000087338,4930405P13Rik,2,9,5
ENSMUSG00000030087,Klf15,269,282,292
ENSMUSG00000034755,Pcdh11x,834,1438,642
